league,season,team,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
ITA-Serie A,2122,vs Atalanta,674,17.74,508,42,44,38,34,8,75,1.97,52,6,4,7,6,0
ITA-Serie A,2122,vs Bologna,954,25.11,713,72,45,56,52,16,89,2.34,63,4,4,8,9,1
ITA-Serie A,2122,vs Cagliari,940,24.74,675,87,51,64,48,15,114,3.0,81,6,8,9,9,1
ITA-Serie A,2122,vs Empoli,1205,31.71,880,116,50,97,39,23,114,3.0,88,5,5,11,4,1
ITA-Serie A,2122,vs Fiorentina,593,15.61,404,58,37,35,43,16,86,2.26,62,7,5,3,5,4
ITA-Serie A,2122,vs Genoa,934,24.58,676,82,52,66,49,9,98,2.58,70,5,7,11,5,0
ITA-Serie A,2122,vs Hellas Verona,817,21.5,588,82,43,49,48,7,99,2.61,71,9,4,10,5,0
ITA-Serie A,2122,vs Inter,680,17.89,485,53,35,59,32,16,46,1.21,33,1,1,6,4,1
ITA-Serie A,2122,vs Juventus,760,20.0,567,70,29,43,33,18,58,1.53,37,4,2,8,6,1
ITA-Serie A,2122,vs Lazio,806,21.21,585,73,42,53,37,16,101,2.66,72,7,6,7,8,1
ITA-Serie A,2122,vs Milan,675,17.76,490,64,31,48,31,11,45,1.18,29,4,1,7,2,2
ITA-Serie A,2122,vs Napoli,726,19.11,542,60,35,42,37,10,52,1.37,39,3,3,5,2,0
ITA-Serie A,2122,vs Roma,667,17.55,504,46,35,30,44,8,68,1.79,43,5,5,8,7,0
ITA-Serie A,2122,vs Salernitana,1049,27.61,779,86,55,67,48,14,137,3.61,105,8,9,9,5,1
ITA-Serie A,2122,vs Sampdoria,965,25.39,702,81,57,73,44,8,108,2.84,77,4,10,13,4,0
ITA-Serie A,2122,vs Sassuolo,934,24.58,674,95,48,57,39,21,117,3.08,80,12,7,6,9,3
ITA-Serie A,2122,vs Spezia,1133,29.82,826,81,77,75,53,21,116,3.05,83,7,7,9,10,0
ITA-Serie A,2122,vs Torino,683,17.97,467,87,26,38,59,6,72,1.89,49,5,3,4,10,1
ITA-Serie A,2122,vs Udinese,814,21.42,579,69,62,44,45,15,95,2.5,63,4,11,9,6,2
ITA-Serie A,2122,vs Venezia,1184,31.16,831,111,57,106,64,15,110,2.89,72,8,7,17,5,1
ITA-Serie A,2223,vs Atalanta,781,20.55,586,61,44,39,40,11,79,2.08,59,4,7,5,3,1
ITA-Serie A,2223,vs Bologna,824,21.68,569,82,55,64,41,13,74,1.95,49,5,5,7,7,1
ITA-Serie A,2223,vs Cremonese,1027,27.03,721,109,59,73,47,18,122,3.21,83,7,8,13,9,2
ITA-Serie A,2223,vs Empoli,1086,28.58,797,110,38,72,50,19,84,2.21,58,11,2,10,3,0
ITA-Serie A,2223,vs Fiorentina,596,15.68,419,56,45,36,28,12,71,1.87,52,3,5,5,5,1
ITA-Serie A,2223,vs Hellas Verona,935,24.61,675,89,53,60,46,12,97,2.55,76,5,10,3,3,0
ITA-Serie A,2223,vs Inter,759,19.97,579,64,27,38,39,12,70,1.84,54,7,0,4,5,0
ITA-Serie A,2223,vs Juventus,795,20.92,614,66,35,39,28,13,53,1.39,35,3,4,8,2,1
ITA-Serie A,2223,vs Lazio,812,21.37,583,76,55,54,31,13,53,1.39,38,3,2,5,3,2
ITA-Serie A,2223,vs Lecce,781,20.55,561,78,40,42,52,8,73,1.92,53,3,6,4,7,0
ITA-Serie A,2223,vs Milan,709,18.66,513,70,32,37,44,13,74,1.95,46,7,6,5,8,2
ITA-Serie A,2223,vs Monza,869,22.87,635,84,43,54,39,14,85,2.24,62,5,4,11,2,1
ITA-Serie A,2223,vs Napoli,644,16.95,459,61,39,38,24,23,48,1.26,32,2,5,7,0,2
ITA-Serie A,2223,vs Roma,703,18.5,512,62,36,39,46,8,60,1.58,41,3,1,11,4,0
ITA-Serie A,2223,vs Salernitana,1030,27.11,754,80,65,73,46,12,106,2.79,73,4,6,13,9,1
ITA-Serie A,2223,vs Sampdoria,1044,27.47,741,101,57,80,54,11,119,3.13,89,8,7,8,6,1
ITA-Serie A,2223,vs Sassuolo,845,22.24,622,86,40,45,29,23,97,2.55,74,4,8,7,2,2
ITA-Serie A,2223,vs Spezia,1044,27.47,731,107,63,85,45,13,104,2.74,74,7,9,9,5,0
ITA-Serie A,2223,vs Torino,755,19.87,561,71,26,49,37,11,70,1.84,47,8,2,8,5,0
ITA-Serie A,2223,vs Udinese,806,21.21,555,80,45,57,53,16,86,2.26,64,2,6,6,7,1
ITA-Serie A,2324,vs Atalanta,785,20.66,574,67,34,47,48,15,76,2.0,51,6,5,5,7,2
ITA-Serie A,2324,vs Bologna,684,18.0,467,67,41,46,47,16,51,1.34,37,2,1,5,5,1
ITA-Serie A,2324,vs Cagliari,890,23.42,654,91,41,49,49,6,117,3.08,81,9,8,11,7,1
ITA-Serie A,2324,vs Empoli,996,26.21,722,93,50,70,43,18,90,2.37,56,7,8,13,6,0
ITA-Serie A,2324,vs Fiorentina,642,16.89,442,59,43,53,32,13,83,2.18,56,2,5,5,11,4
ITA-Serie A,2324,vs Frosinone,970,25.53,725,73,55,69,31,17,114,3.0,83,5,5,15,5,1
ITA-Serie A,2324,vs Genoa,894,23.53,656,81,42,48,56,11,80,2.11,59,2,5,9,4,1
ITA-Serie A,2324,vs Hellas Verona,866,22.79,601,94,44,78,40,9,80,2.11,61,3,2,10,2,2
ITA-Serie A,2324,vs Inter,694,18.26,530,54,34,31,33,12,40,1.05,34,2,0,1,3,0
ITA-Serie A,2324,vs Juventus,777,20.45,591,68,23,45,39,11,43,1.13,28,3,2,8,2,0
ITA-Serie A,2324,vs Lazio,868,22.84,603,92,43,69,47,14,64,1.68,43,7,2,8,4,0
ITA-Serie A,2324,vs Lecce,911,23.97,645,90,51,63,48,14,83,2.18,47,12,4,10,8,2
ITA-Serie A,2324,vs Milan,858,22.58,604,73,48,78,36,19,80,2.11,48,8,9,6,9,0
ITA-Serie A,2324,vs Monza,964,25.37,677,95,47,74,51,20,84,2.21,47,5,9,14,8,1
ITA-Serie A,2324,vs Napoli,696,18.32,507,66,39,50,24,10,83,2.18,62,5,5,7,3,1
ITA-Serie A,2324,vs Roma,860,22.63,630,68,65,45,30,22,79,2.08,62,3,4,4,3,3
ITA-Serie A,2324,vs Salernitana,1065,28.03,776,103,55,77,40,14,132,3.47,91,7,11,13,7,3
ITA-Serie A,2324,vs Sassuolo,970,25.53,711,91,43,61,40,24,127,3.34,84,9,11,7,11,5
ITA-Serie A,2324,vs Torino,742,19.53,533,81,37,37,44,10,66,1.74,49,4,3,4,6,0
ITA-Serie A,2324,vs Udinese,884,23.26,640,87,45,54,45,13,93,2.45,62,6,5,7,9,4
ITA-Serie A,2425,vs Atalanta,697,18.34,510,57,26,53,38,13,60,1.58,44,4,4,4,2,2
ITA-Serie A,2425,vs Bologna,571,15.03,384,68,39,36,31,13,79,2.08,58,4,8,7,2,0
ITA-Serie A,2425,vs Cagliari,890,23.42,667,69,37,69,38,10,99,2.61,64,7,7,15,5,1
ITA-Serie A,2425,vs Como,655,17.24,449,54,40,40,45,27,90,2.37,65,5,7,6,5,2
ITA-Serie A,2425,vs Empoli,916,24.11,670,88,48,62,37,11,100,2.63,75,5,5,10,2,3
ITA-Serie A,2425,vs Fiorentina,767,20.18,562,60,45,43,44,13,65,1.71,51,2,6,3,2,1
ITA-Serie A,2425,vs Genoa,853,22.45,642,79,39,46,41,6,79,2.08,60,5,4,7,3,0
ITA-Serie A,2425,vs Hellas Verona,900,23.68,659,71,52,57,49,12,106,2.79,78,6,7,12,1,2
ITA-Serie A,2425,vs Inter,710,18.68,544,49,40,44,23,10,56,1.47,37,2,6,8,2,1
ITA-Serie A,2425,vs Juventus,681,17.92,481,72,25,54,32,17,56,1.47,42,3,0,5,6,0
ITA-Serie A,2425,vs Lazio,683,17.97,510,67,29,37,29,11,78,2.05,63,4,2,5,3,1
ITA-Serie A,2425,vs Lecce,932,24.53,662,87,48,77,44,14,98,2.58,62,4,6,11,12,3
ITA-Serie A,2425,vs Milan,776,20.42,578,63,51,38,28,18,71,1.87,50,6,3,6,5,1
ITA-Serie A,2425,vs Monza,1020,26.84,748,92,53,59,57,11,124,3.26,91,10,9,7,6,1
ITA-Serie A,2425,vs Napoli,643,16.92,491,47,27,31,36,11,43,1.13,35,0,2,3,2,1
ITA-Serie A,2425,vs Parma,986,25.95,772,68,40,60,34,12,97,2.55,72,5,2,11,7,0
ITA-Serie A,2425,vs Roma,757,19.92,563,64,43,45,35,7,53,1.39,33,6,2,7,5,0
ITA-Serie A,2425,vs Torino,926,24.37,688,79,35,71,31,22,75,1.97,50,6,5,7,5,2
ITA-Serie A,2425,vs Udinese,867,22.82,628,81,31,77,35,15,85,2.24,57,4,2,14,8,0
ITA-Serie A,2425,vs Venezia,987,25.97,701,99,51,65,49,22,93,2.45,57,10,3,9,10,4
ITA-Serie A,2526,vs Atalanta,49,16.33,28,6,4,6,4,1,3,1.0,2,0,0,1,0,0
ITA-Serie A,2526,vs Bologna,71,23.67,51,5,6,4,2,3,2,0.67,2,0,0,0,0,0
ITA-Serie A,2526,vs Cagliari,70,23.33,45,6,7,6,3,3,4,1.33,4,0,0,0,0,0
ITA-Serie A,2526,vs Como,55,18.33,32,10,5,6,1,1,3,1.0,2,0,0,1,0,0
ITA-Serie A,2526,vs Cremonese,98,32.67,77,8,4,6,2,1,6,2.0,5,0,0,0,1,0
ITA-Serie A,2526,vs Fiorentina,66,22.0,42,9,2,5,6,2,7,2.33,2,1,0,2,2,0
ITA-Serie A,2526,vs Genoa,59,19.67,39,6,5,7,1,1,4,1.33,3,1,0,0,0,0
ITA-Serie A,2526,vs Hellas Verona,80,26.67,57,7,8,4,4,0,10,3.33,7,2,0,0,1,0
ITA-Serie A,2526,vs Inter,60,20.0,49,4,3,1,2,1,11,3.67,9,1,0,0,1,0
ITA-Serie A,2526,vs Juventus,65,21.67,45,10,1,7,2,0,6,2.0,5,1,0,0,0,0
ITA-Serie A,2526,vs Lazio,68,22.67,45,5,5,6,3,4,5,1.67,2,0,1,1,1,0
ITA-Serie A,2526,vs Lecce,65,21.67,50,5,2,3,4,1,8,2.67,4,2,0,0,1,1
ITA-Serie A,2526,vs Milan,30,10.0,27,3,0,0,0,0,4,1.33,3,1,0,0,0,0
ITA-Serie A,2526,vs Napoli,60,20.0,49,2,3,3,2,1,1,0.33,0,0,0,1,0,0
ITA-Serie A,2526,vs Parma,92,30.67,74,6,2,6,1,3,8,2.67,6,0,0,2,0,0
ITA-Serie A,2526,vs Pisa,76,25.33,54,5,7,8,2,0,5,1.67,4,0,0,1,0,0
ITA-Serie A,2526,vs Roma,46,15.33,31,7,3,1,2,2,2,0.67,2,0,0,0,0,0
ITA-Serie A,2526,vs Sassuolo,63,21.0,41,5,6,6,5,0,9,3.0,5,1,0,1,2,0
ITA-Serie A,2526,vs Torino,102,34.0,72,11,3,8,6,2,6,2.0,5,1,0,0,0,0
ITA-Serie A,2526,vs Udinese,62,20.67,43,7,4,7,1,0,2,0.67,0,0,0,2,0,0
